event_1,event_2,event_3,event_4,event_5,time
0.005269112915863728,0.028136253089510153,0.033920032120400116,0.014654734162926541,0.037820337892661815,1.2344229486324218e-05
0.005268893136175264,0.028135100387452736,0.033918541400403575,0.014653898920135007,0.0378187443910493,1.2360240160106739e-05
0.005268673365283304,0.02813394773152312,0.033917050740057464,0.014653063710769484,0.037817150953198715,1.2376250833889261e-05
0.005268453603187504,0.02813279512171944,0.03391556013935941,0.014652228534828638,0.03781555757910755,1.2392261507671782e-05
0.005268233849887507,0.02813164255803986,0.03391406959830701,0.014651393392311127,0.03781396426877323,1.2408272181454304e-05
0.00526801410538296,0.02813049004048254,0.03391257911689792,0.014650558283215619,0.03781237102219321,1.2424282855236825e-05
0.005267794369673514,0.028129337569045627,0.03391108869512972,0.014649723207540778,0.03781077783936492,1.2440293529019348e-05
0.005267574642758818,0.028128185143727266,0.03390959833300003,0.014648888165285258,0.03780918472028585,1.2456304202801869e-05
0.005267354924638517,0.028127032764525627,0.033908108030506465,0.014648053156447731,0.03780759166495342,1.2472314876584391e-05
0.005267135215312258,0.02812588043143886,0.03390661778764664,0.014647218181026857,0.03780599867336507,1.2488325550366912e-05
0.005266915514779692,0.028124728144465126,0.033905127604418175,0.014646383239021291,0.03780440574551829,1.2504336224149434e-05
0.005266695823040466,0.02812357590360256,0.03390363748081868,0.014645548330429711,0.03780281288141051,1.2520346897931955e-05
0.005266476140094229,0.028122423708849334,0.03390214741684577,0.01464471345525077,0.03780122008103916,1.2536357571714478e-05
0.005266256465940628,0.02812127156020361,0.03390065741249705,0.014643878613483137,0.03779962734440172,1.2552368245496998e-05
0.005266036800579311,0.028120119457663528,0.033899167467770164,0.014643043805125464,0.03779803467149564,1.2568378919279521e-05
0.0052658171440099245,0.028118967401227254,0.033897677582662676,0.014642209030176425,0.037796442062318344,1.2584389593062042e-05
0.005265597496232123,0.028117815390892937,0.03389618775717226,0.014641374288634679,0.03779484951686729,1.2600400266844564e-05
0.005265377857245547,0.028116663426658726,0.0338946979912965,0.01464053958049889,0.03779325703513996,1.2616410940627085e-05
0.005265158227049848,0.028115511508522796,0.03389320828503299,0.014639704905767723,0.03779166461713377,1.2632421614409608e-05
0.005264938605644674,0.028114359636483285,0.03389171863837939,0.014638870264439836,0.037790072262846176,1.2648432288192128e-05
0.005264718993029676,0.028113207810538356,0.0338902290513333,0.014638035656513898,0.03778847997227464,1.2664442961974651e-05
0.005264499389204495,0.028112056030686165,0.03388873952389233,0.014637201081988573,0.037786887745416615,1.2680453635757172e-05
0.0052642797941687865,0.028110904296924873,0.03388725005605409,0.014636366540862518,0.037785295582269555,1.2696464309539694e-05
0.0052640602079221934,0.02810975260925262,0.033885760647816204,0.014635532033134401,0.0377837034828309,1.2712474983322217e-05
0.00526384063046437,0.02810860096766757,0.03388427129917629,0.014634697558802883,0.0377821114470981,1.2728485657104737e-05
0.0052636210617949585,0.02810744937216789,0.033882782010131944,0.014633863117866635,0.037780519475068615,1.274449633088726e-05
0.005263401501913609,0.028106297822751734,0.033881292780680805,0.014633028710324313,0.03777892756673989,1.276050700466978e-05
0.005263181950819971,0.02810514631941724,0.03387980361082049,0.014632194336174588,0.037777335722109374,1.2776517678452303e-05
0.005262962408513692,0.028103994862162578,0.0338783145005486,0.014631359995416112,0.037775743941174535,1.2792528352234824e-05
0.0052627428749944215,0.028102843450985907,0.03387682544986276,0.014630525688047562,0.03777415222393282,1.2808539026017347e-05
0.0052625233502618055,0.028101692085885376,0.033875336458760584,0.014629691414067593,0.037772560570381676,1.2824549699799867e-05
0.005262303834315495,0.028100540766859146,0.033873847527239695,0.014628857173474868,0.03777096898051855,1.284056037358239e-05
0.0052620843271551365,0.028099389493905363,0.0338723586552977,0.014628022966268061,0.037769377454340905,1.285657104736491e-05
0.005261864828780377,0.028098238267022204,0.033870869842932215,0.01462718879244583,0.037767785991846194,1.2872581721147433e-05
0.005261645339190868,0.02809708708620781,0.03386938109014087,0.014626354652006842,0.03776619459303185,1.2888592394929954e-05
0.005261425858386256,0.028095935951460344,0.03386789239692127,0.014625520544949757,0.037764603257895345,1.2904603068712476e-05
0.005261206386366192,0.028094784862777958,0.033866403763271026,0.01462468647127324,0.037763011986434135,1.2920613742494997e-05
0.00526098692313032,0.02809363382015881,0.03386491518918777,0.014623852430975958,0.03776142077864566,1.293662441627752e-05
0.005260767468678292,0.02809248282360106,0.033863426674669114,0.01462301842405657,0.03775982963452738,1.295263509006004e-05
0.005260548023009757,0.028091331873102875,0.03386193821971268,0.01462218445051375,0.037758238554076735,1.2968645763842563e-05
0.005260328586124359,0.028090180968662393,0.03386044982431608,0.01462135051034615,0.03775664753729121,1.2984656437625084e-05
0.005260109158021751,0.028089030110277784,0.03385896148847692,0.014620516603552446,0.037755056584168216,1.3000667111407606e-05
0.005259889738701579,0.028087879297947198,0.03385747321219284,0.014619682730131298,0.03775346569470524,1.3016677785190127e-05
0.005259670328163492,0.0280867285316688,0.03385598499546144,0.01461884889008137,0.03775187486889973,1.303268845897265e-05
0.005259450926407139,0.028085577811440745,0.03385449683828035,0.014618015083401329,0.03775028410674911,1.304869913275517e-05
